,title,release,artist_name,user,silhouette_score
578,Spanish Eyes,Millennium,Backstreet Boys,user2,0.5999764810735316
680,I Want It That Way,2000 Grammy Nominees--Pop,Backstreet Boys,user2,0.5935601973661697
356,I Want It That Way,2000 Grammy Nominees--Pop,Backstreet Boys,user1,0.5935601973661697
142,Help I'm Alive,Fantasies,Metric,user1,0.5933674863608194
535,Don't Want You Back,Millennium,Backstreet Boys,user2,0.5932044442050308
68,Hash Pipe,Hash Pipe,Weezer,user1,0.5894881663722079
638,Tomorrow,Let Go,Avril Lavigne,user2,0.5890757775478527
658,Smells Like Teen Spirit,From The Muddy Banks Of The Wishkah,Nirvana,user2,0.5878134467996281
136,Everytime We Touch,Pop Hits,Cascada,user1,0.5845548557311158
574,Everytime We Touch,Pop Hits,Cascada,user2,0.5845548557311158
405,Too Young,Run Run Run,Phoenix,user1,0.5822210136984135
715,Mobile,Let Go,Avril Lavigne,user2,0.5820378841641464
570,Jump,Kids Dance Pac,Girls Aloud,user2,0.5810852977964536
568,Saturday,**** Live In Phoenix,Fall Out Boy,user2,0.5797149584089103
434,Kids,Kids,MGMT,user1,0.5795355154704002
677,Supergirl,Hannah Montana - The Collection,Hannah Montana,user2,0.5781172285388305
114,Savior,Appeal To Reason,Rise Against,user1,0.5780520751005321
262,Girl,Girl,Beck,user1,0.5775641891644365
128,Whatcha Say,Jason Derulo,Jason Derulo,user1,0.5768358153765681
565,Whatcha Say,Jason Derulo,Jason Derulo,user2,0.5768358153765681
663,Naive,101 Indie Classics,The Kooks,user2,0.5767520914435568
302,Naive,101 Indie Classics,The Kooks,user1,0.5767520914435568
636,Like Whoa,Insomniatic,Aly & AJ,user2,0.5764321781845995
288,Hellraiser,No More Tears,Ozzy Osbourne,user1,0.5755657539743898
211,Come Back Home,Tourist History,Two Door Cinema Club,user1,0.5747075932722898
97,Love Me,My Worlds,Justin Bieber,user1,0.5746368540869915
492,Flash Delirium,Flash Delirium,MGMT,user1,0.57302349159429
344,Don't Speak,The Singles Collection,No Doubt,user1,0.5705244197736099
637,All Star,Smash Mouth,Smash Mouth,user2,0.5703755204746708
268,All Star,Smash Mouth,Smash Mouth,user1,0.5703755204746708
323,Breakeven,Dance Nation Vol. 2,The Script,user1,0.5703650566933574
345,Happy?,By The People_ For The People,Mudvayne,user1,0.5673051970541764
316,Island In The Sun,Beverly Hills,Weezer,user1,0.5671153356399595
209,Behind These Hazel Eyes,Behind These Hazel Eyes,Kelly Clarkson,user1,0.566880401606574
621,Behind These Hazel Eyes,Behind These Hazel Eyes,Kelly Clarkson,user2,0.566880401606574
95,Stacy's Mom,Stacy's Mom,Fountains Of Wayne,user1,0.5664760759232699
741,That's The Way I Like It,Backstreet's Back,Backstreet Boys,user2,0.5655621019355555
235,Mr. Jones,Films About Ghosts (The Best Of Counting Crows),Counting Crows,user1,0.5651833314953616
629,Mr. Jones,Films About Ghosts (The Best Of Counting Crows),Counting Crows,user2,0.5651833314953616
758,I Need You Tonight,Millennium,Backstreet Boys,user2,0.5645132306730836
698,Seven Nation Army,Seven Nation Army,The White Stripes,user2,0.5619019020925927
69,In Too Far,Phantoms,Acceptance,user1,0.5615918272476985
463,Say My Name,The Writing's On The Wall,Destiny's Child,user1,0.5609164230201772
735,Say My Name,The Writing's On The Wall,Destiny's Child,user2,0.5609164230201772
651,Losing Grip,Avril Live: Try To Shut Me Up,Avril Lavigne,user2,0.5602578613056052
761,Suga Suga,The One,Baby Bash,user2,0.5595138514318848
290,What You Know,Tourist History,Two Door Cinema Club,user1,0.5589307095194519
47,Black & Blue,Black & Blue,Miike Snow,user1,0.5586514533317642
333,Hey Jealousy,90's,Gin Blossoms,user1,0.5583766743535354
494,Stab My Back,Move Along,The All-American Rejects,user1,0.5569511187792076
428,Say It Ain't So,90s Rock Gold,Weezer,user1,0.5557663006585732
549,Nobody's Home,Under My Skin,Avril Lavigne,user2,0.5554977933673275
625,The One,Millennium,Backstreet Boys,user2,0.5546461810032826
15,Couleurs,Invol2ver,M83,user1,0.5540752655008603
512,Survivor,Voices,Destiny's Child,user2,0.5539655223637155
539,Broken Open,For Your Entertainment (Deluxe Version),Adam Lambert,user2,0.5524188676752001
11,When Your Heart Stops Beating,AOL Music Sessions,+44,user1,0.5509250290467713
588,Rumors,Over,Lindsay Lohan,user2,0.5503307385704341
573,Hot N Cold,One Of The Boys,Katy Perry,user2,0.5500339225367435
135,Hot N Cold,One Of The Boys,Katy Perry,user1,0.5500339225367435
411,I Can Talk,Kitsuné: I Can Talk Remixes - EP,Two Door Cinema Club,user1,0.5495813621839482
610,See You Again,7 Things,Miley Cyrus,user2,0.5483328100029013
464,Hoedown Throwdown,Hannah Montana The Movie,Miley Cyrus,user1,0.5473099457043648
218,Won't Be Coming Home (S.I.N.),No More Tears,Ozzy Osbourne,user1,0.5472016321060447
655,When You're Gone,Kuschelrock 21,Avril Lavigne,user2,0.5469704797895442
292,When You're Gone,Kuschelrock 21,Avril Lavigne,user1,0.5469704797895442
307,Two Weeks,Two Weeks,Grizzly Bear,user1,0.5468093578438368
156,A Milli,A Milli,Lil Wayne,user1,0.5457345354016564
595,Fall To Pieces,Under My Skin,Avril Lavigne,user2,0.5451247004431689
89,Drive,Make Yourself,Incubus,user1,0.5448585653861396
289,Gasolina,"Daddy Yankee ""Gasolina",Daddy Yankee,user1,0.5431278309050553
120,Believe Me Natalie,Hot Fuss,The Killers,user1,0.5428762943056694
253,Cleanin' Out My Closet,Curtain Call,Eminem,user1,0.5425015996325905
529,Take Me Away,Under My Skin,Avril Lavigne,user2,0.5423761494406675
563,Better Off Alone,Classic Big Tunes 2009,Alice Deejay,user2,0.5416648899182583
125,Better Off Alone,Classic Big Tunes 2009,Alice Deejay,user1,0.5416648899182583
267,Clumsy,Clumsy,Fergie,user1,0.5406326484965922
13,Toxic,The Singles Collection,Britney Spears,user1,0.5397633011337838
508,Toxic,The Singles Collection,Britney Spears,user2,0.5397633011337838
600,Unfaithful,Summer Club Hits,Rihanna,user2,0.5392561483275031
615,Chelsea Dagger,Live Lounge 2,The Fratellis,user2,0.5358710380232455
451,I Kissed A Girl,One Of The Boys (iTunes Exclusive),Katy Perry,user1,0.5349226426999507
728,I Kissed A Girl,One Of The Boys (iTunes Exclusive),Katy Perry,user2,0.5349226426999507
14,Undercover Martyn,Undercover Martyn,Two Door Cinema Club,user1,0.5338232905485681
480,Disturbia,Bravo Hits 63,Rihanna,user1,0.5335507024159926
752,Disturbia,Bravo Hits 63,Rihanna,user2,0.5335507024159926
623,Thnks fr th Mmrs,**** Live In Phoenix,Fall Out Boy,user2,0.5332660119737003
213,Thnks fr th Mmrs,**** Live In Phoenix,Fall Out Boy,user1,0.5332660119737003
311,Wonderwall,Familiar To Millions,Oasis,user1,0.5331720089497678
408,Dashboard,We Were Dead Before The Ship Even Sank,Modest Mouse,user1,0.5323416878282172
44,Nightcall,Nightcall,Kavinsky,user1,0.5310026274843139
684,Pon de Replay,A Girl Like Me,Rihanna,user2,0.5306088461775661
363,Pon de Replay,A Girl Like Me,Rihanna,user1,0.5306088461775661
332,If You Want Peace... Prepare For War,Are You Dead Yet?,Children Of Bodom,user1,0.5303016483277988
646,Tell Me Something I Don't Know,Kiss & Tell,Selena Gomez & The Scene,user2,0.5298033268762854
336,Soundtrack 2 My Life,Man On The Moon: The End Of Day,Kid Cudi,user1,0.5294272823761982
616,Bring Me To Life,Anywhere But Home,Evanescence,user2,0.5282833541094291
515,Boys Will Be Boys,Backstreet Boys,Backstreet Boys,user2,0.5282329556135283
496,The Handshake,Oracular Spectacular,MGMT,user1,0.5280285699841757
591,867-5309 / Jenny,Millennium Pop Hits,Tommy Tutone,user2,0.5276538731912263
495,Heaven Beside You,Alice In Chains,Alice In Chains,user1,0.5268134528660174
402,Breed,Breed,Nirvana,user1,0.525363172829139
144,Pin Your Wings,In Motion,Copeland,user1,0.5250350597394423
673,Gypsy Woman,The Words You Don't Swallow,Anarbor,user2,0.5250146531076895
732,The Final Countdown,Almost Unplugged,Europe,user2,0.5245501178969296
460,The Final Countdown,Almost Unplugged,Europe,user1,0.5245501178969296
749,When I Grow Up,Clubland 14,The Pussycat Dolls,user2,0.5241766186155287
477,When I Grow Up,Clubland 14,The Pussycat Dolls,user1,0.5241766186155287
105,The Authority Song,Jimmy Eat World,Jimmy Eat World,user1,0.5239935956017937
446,Kryptonite,Let Me Go,3 Doors Down,user1,0.5237341277742148
605,Quit Playing Games (With My Heart),Greatest Hits - Chapter 1,Backstreet Boys,user2,0.5234381778852547
12,Lady (Hear Me Tonight),Lady (Hear Me Tonight),Modjo,user1,0.5229850100844635
231,Beautiful,Beautiful,Eminem,user1,0.5229074344167908
